crop,country_iso,geo_level,geo_id,geo_display_name,metric_date,TELLUSCHIN
corn,USA,level_1,0,UNITED STATES,1/1/10,0.064150144
corn,USA,level_1,0,UNITED STATES,1/2/10,0.056902582
corn,USA,level_1,0,UNITED STATES,1/3/10,0.060014981
corn,USA,level_1,0,UNITED STATES,1/4/10,0.05615113
corn,USA,level_1,0,UNITED STATES,1/5/10,0.05188089
corn,USA,level_1,0,UNITED STATES,1/6/10,0.050912813
corn,USA,level_1,0,UNITED STATES,1/7/10,0.044244015
corn,USA,level_1,0,UNITED STATES,1/8/10,0.04304077
corn,USA,level_1,0,UNITED STATES,1/9/10,0.042125788
corn,USA,level_1,0,UNITED STATES,1/10/10,0.034324283
corn,USA,level_1,0,UNITED STATES,1/11/10,0.035574657
corn,USA,level_1,0,UNITED STATES,1/12/10,0.033025429
corn,USA,level_1,0,UNITED STATES,1/13/10,0.03412195
corn,USA,level_1,0,UNITED STATES,1/14/10,0.034728759
corn,USA,level_1,0,UNITED STATES,1/15/10,0.029372497
corn,USA,level_1,0,UNITED STATES,1/16/10,0.030478573
corn,USA,level_1,0,UNITED STATES,1/17/10,0.035070124
corn,USA,level_1,0,UNITED STATES,1/18/10,0.033361121
corn,USA,level_1,0,UNITED STATES,1/19/10,0.031955191
corn,USA,level_1,0,UNITED STATES,1/20/10,0.025323596
corn,USA,level_1,0,UNITED STATES,1/21/10,0.028163104
corn,USA,level_1,0,UNITED STATES,1/22/10,0.022613096
corn,USA,level_1,0,UNITED STATES,1/23/10,0.019811461
corn,USA,level_1,0,UNITED STATES,1/24/10,0.025330357
corn,USA,level_1,0,UNITED STATES,1/25/10,0.025299385
corn,USA,level_1,0,UNITED STATES,1/26/10,0.020226153
corn,USA,level_1,0,UNITED STATES,1/27/10,0.018320306
corn,USA,level_1,0,UNITED STATES,1/28/10,0.026839191
corn,USA,level_1,0,UNITED STATES,1/29/10,0.017716956
corn,USA,level_1,0,UNITED STATES,1/30/10,0.018467954
corn,USA,level_1,0,UNITED STATES,1/31/10,0.026542378
corn,USA,level_1,0,UNITED STATES,2/1/10,0.022291657
corn,USA,level_1,0,UNITED STATES,2/2/10,0.029827788
corn,USA,level_1,0,UNITED STATES,2/3/10,0.02481044
