,crop,country_iso,metric_date,TELLUSCHIN,doy,year,adm2_code,yield
0,corn,USA,1/1/10,0.064150144,1,2010,0,152
1,corn,USA,1/2/10,0.056902582,2,2010,0,152
2,corn,USA,1/3/10,0.060014980999999995,3,2010,0,152
3,corn,USA,1/4/10,0.05615113,4,2010,0,152
4,corn,USA,1/5/10,0.05188089,5,2010,0,152
5,corn,USA,1/6/10,0.050912813,6,2010,0,152
6,corn,USA,1/7/10,0.044244015,7,2010,0,152
7,corn,USA,1/8/10,0.04304077,8,2010,0,152
8,corn,USA,1/9/10,0.042125788,9,2010,0,152
9,corn,USA,1/10/10,0.034324283,10,2010,0,152
10,corn,USA,1/11/10,0.035574657,11,2010,0,152
11,corn,USA,1/12/10,0.033025429,12,2010,0,152
12,corn,USA,1/13/10,0.03412195,13,2010,0,152
13,corn,USA,1/14/10,0.034728759,14,2010,0,152
14,corn,USA,1/15/10,0.029372497,15,2010,0,152
15,corn,USA,1/16/10,0.030478573,16,2010,0,152
16,corn,USA,1/17/10,0.035070124,17,2010,0,152
17,corn,USA,1/18/10,0.033361121,18,2010,0,152
18,corn,USA,1/19/10,0.031955191,19,2010,0,152
19,corn,USA,1/20/10,0.025323596,20,2010,0,152
20,corn,USA,1/21/10,0.028163103999999998,21,2010,0,152
21,corn,USA,1/22/10,0.022613096,22,2010,0,152
22,corn,USA,1/23/10,0.019811461000000002,23,2010,0,152
23,corn,USA,1/24/10,0.025330357,24,2010,0,152
24,corn,USA,1/25/10,0.025299385,25,2010,0,152
25,corn,USA,1/26/10,0.020226153,26,2010,0,152
26,corn,USA,1/27/10,0.018320306,27,2010,0,152
27,corn,USA,1/28/10,0.026839191000000002,28,2010,0,152
28,corn,USA,1/29/10,0.017716956000000002,29,2010,0,152
29,corn,USA,1/30/10,0.018467953999999998,30,2010,0,152
30,corn,USA,1/31/10,0.026542378,31,2010,0,152
31,corn,USA,2/1/10,0.022291657000000003,32,2010,0,152
32,corn,USA,2/2/10,0.029827787999999997,33,2010,0,152
33,corn,USA,2/3/10,0.02481044,34,2010,0,152
34,corn,USA,2/4/10,0.027860212000000002,35,2010,0,152
35,corn,USA,2/5/10,0.035883717,36,2010,0,152
36,corn,USA,2/6/10,0.033073423,37,2010,0,152
37,corn,USA,2/7/10,0.031172306,38,2010,0,152
38,corn,USA,2/8/10,0.040094957,39,2010,0,152
39,corn,USA,2/9/10,0.040812173,40,2010,0,152
